subfield,year,rank,work_id,title,authors_top3,concepts_top3,abstract_preview,primary_source
operating systems,2020,28,https://openalex.org/W3035396860,Bridging the Gap Between Anchor-Based and Anchor-Free Detection via Adaptive Training Sample Selection,Shifeng Zhang; Cheng Chi; Yongqiang Yao,Detector (0.77); Computer science (0.76); Bridging (networking) (0.71),"Object detection has been dominated by anchor-based detectors for several years. Recently, anchor-free detectors have become popular due to the proposal of FPN and Focal Loss. In this paper, we first point out that the essential difference between anchor-based and anchor-free detection is actually h...",
operating systems,2020,29,https://openalex.org/W3034933627,"Adsorption isotherm models: Classification, physical meaning, application and solving method",Jianlong Wang; Xuan Guo,Adsorption (0.90); Thermodynamics (0.60); Sorption isotherm (0.57),,Chemosphere
operating systems,2020,30,https://openalex.org/W3003821665,Fully hardware-implemented memristor convolutional neural network,Peng Yao; Huaqiang Wu; Bin Gao,Memristor (0.92); Neuromorphic engineering (0.82); Computer science (0.76),,Nature
operating systems,2020,31,https://openalex.org/W3012041784,Characterising the Digital Twin: A systematic literature review,David Jones; Chris Snider; Aydin Nassehi,Terminology (0.69); Computer science (0.52); Data science (0.45),"While there has been a recent growth of interest in the Digital Twin, a variety of definitions employed across industry and academia remain. There is a need to consolidate research such to maintain a common understanding of the topic and ensure future research efforts are to be based on solid founda...",CIRP journal of manufacturing science and technology
operating systems,2020,32,https://openalex.org/W3011830499,Toward 6G Networks: Use Cases and Technologies,Marco Giordani; Michele Polese; Marco Mezzavilla,Computer science (0.83); Wireless (0.57); Cloud computing (0.55),"Reliable data connectivity is vital for the ever increasingly intelligent, automated, and ubiquitous digital world. Mobile networks are the data highways and, in a fully connected, intelligent digital world, will need to connect everything, including people to vehicles, sensors, data, cloud resource...",IEEE Communications Magazine
operating systems,2020,33,https://openalex.org/W3013080934,Memory devices and applications for in-memory computing,Abu Sebastian; Manuel Le Gallo; Riduan Khaddam-Aljameh,In-Memory Processing (0.82); Computer science (0.81); Von Neumann architecture (0.73),,Nature Nanotechnology
operating systems,2020,34,https://openalex.org/W3007268491,ResUNet-a: A deep learning framework for semantic segmentation of remotely sensed data,Foivos I. Diakogiannis; François Waldner; Peter Caccetta,Computer science (0.81); Segmentation (0.77); Artificial intelligence (0.70),,ISPRS Journal of Photogrammetry and Remote Sensing
operating systems,2020,35,https://openalex.org/W3016932526,Q<scp>uantum</scp> ESPRESSO toward the exascale,Paolo Giannozzi; Oscar Baseggio; Pietro Bonfà,Exascale computing (0.71); Computer science (0.63); Massively parallel (0.62),"Quantum ESPRESSO is an open-source distribution of computer codes for quantum-mechanical materials modeling, based on density-functional theory, pseudopotentials, and plane waves, and renowned for its performance on a wide range of hardware architectures, from laptops to massively parallel computers...",The Journal of Chemical Physics
operating systems,2020,36,https://openalex.org/W2999175750,"Using MicrobiomeAnalyst for comprehensive statistical, functional, and meta-analysis of microbiome data",Jasmine Chong; Peng Liu; Guangyan Zhou,Profiling (computer programming) (0.77); Computer science (0.72); Microbiome (0.70),,Nature Protocols
operating systems,2020,37,https://openalex.org/W2964383261,The Rise of Market Power and the Macroeconomic Implications*,Jan De Loecker; Jan Eeckhout; Gabriel Unger,Economics (0.80); Market power (0.66); Dynamism (0.59),"Abstract We document the evolution of market power based on firm-level data for the U.S. economy since 1955. We measure both markups and profitability. In 1980, aggregate markups start to rise from 21% above marginal cost to 61% now. The increase is driven mainly by the upper tail of the markup dist...",The Quarterly Journal of Economics
operating systems,2020,38,https://openalex.org/W2998500935,Causes of Higher Climate Sensitivity in CMIP6 Models,Mark D. Zelinka; Timothy A. Myers; Daniel T. McCoy,Coupled model intercomparison project (0.80); Extratropical cyclone (0.78); Climate sensitivity (0.77),"Abstract Equilibrium climate sensitivity, the global surface temperature response to CO doubling, has been persistently uncertain. Recent consensus places it likely within 1.5–4.5 K. Global climate models (GCMs), which attempt to represent all relevant physical processes, provide the most direct mea...",Geophysical Research Letters
operating systems,2020,39,https://openalex.org/W3015438624,The HDOCK server for integrated protein–protein docking,Yumeng Yan; Huanyu Tao; Jiahua He,Docking (animal) (0.91); Macromolecular docking (0.68); Protein–ligand docking (0.66),,Nature Protocols
operating systems,2020,40,https://openalex.org/W1975534106,Geographic Information Systems,,Geographic information system (0.73); Computer science (0.64); GIS and public health (0.57),"The chapter presents the geographic information systems. A geographic information system (GIS) is a computer system that allows various sources to gather and organize, manage, analyze and combine, develop, and present geographically located information contributing in particular to the management fr...",Advances in public policy and administration (APPA) book series
operating systems,2020,41,https://openalex.org/W3001554335,"Scopus as a curated, high-quality bibliometric data source for academic research in quantitative science studies",Jeroen Baas; Michiel Schotten; Andrew Plume,Scopus (0.92); Bibliometrics (0.59); Metadata (0.59),"Scopus is among the largest curated abstract and citation databases, with a wide global and regional coverage of scientific journals, conference proceedings, and books, while ensuring only the highest quality data are indexed through rigorous content selection and re-evaluation by an independent Con...",Quantitative Science Studies
operating systems,2020,42,https://openalex.org/W3012846954,Profiling Early Humoral Response to Diagnose Novel Coronavirus Disease (COVID-19),Li Guo; Lili Ren; Siyuan Yang,Coronavirus disease 2019 (COVID-19) (0.81); Profiling (computer programming) (0.64); 2019-20 coronavirus outbreak (0.64),"The humoral response to SARS-CoV-2 can aid in the diagnosis of COVID-19, including subclinical cases.",Clinical Infectious Diseases
operating systems,2020,43,https://openalex.org/W3109793392,Fibrosis: from mechanisms to medicines,Neil C. Henderson; Florian Rieder; Thomas A. Wynn,Fibrosis (0.67); Translational research (0.49); Transformative learning (0.48),,Nature
operating systems,2020,44,https://openalex.org/W3041494167,Deep immune profiling of COVID-19 patients reveals distinct immunotypes with therapeutic implications,Divij Mathew; Josephine R. Giles; Amy E. Baxter,Coronavirus disease 2019 (COVID-19) (0.79); Profiling (computer programming) (0.66); Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (0.64),"Immune profiling of COVID-19 patients Coronavirus disease 2019 (COVID-19) has affected millions of people globally, yet how the human immune system responds to and influences COVID-19 severity remains unclear. Mathew et al. present a comprehensive atlas of immune modulation associated with COVID-19....",Science
operating systems,2020,45,https://openalex.org/W3003667836,"Digital Twin: Values, Challenges and Enablers From a Modeling Perspective",Adil Rasheed; Omer San; Trond Kvamsdal,Computer science (0.76); Data science (0.55); Big data (0.53),"Digital twin can be defined as a virtual representation of a physical asset enabled through data and simulators for real-time prediction, optimization, monitoring, controlling, and improved decision making. Recent advances in computational pipelines, multiphysics solvers, artificial intelligence, bi...",IEEE Access
operating systems,2020,46,https://openalex.org/W3015163167,CINeMA: An approach for assessing confidence in the results of a network meta-analysis,Adriani Nikolakopoulou; Julian P. T. Higgins; Theodoros Papakonstantinou,Meta-analysis (0.72); Movie theater (0.67); Credibility (0.64),"Via 3 examples, we show that CINeMA improves transparency and avoids the selective use of evidence when forming judgments, thus limiting subjectivity in the process. CINeMA is easy to apply even in large and complicated networks.",PLoS Medicine
operating systems,2020,47,https://openalex.org/W3092664098,ASAP: assemble species by automatic partitioning,Nicolas Puillandre; Sophie Brouillet; Guillaume Achaz,Coalescent theory (0.76); Barcode (0.73); Biology (0.65),"Here, we describe Assemble Species by Automatic Partitioning (ASAP), a new method to build species partitions from single locus sequence alignments (i.e., barcode data sets). ASAP is efficient enough to split data sets as large 10<sup>4</sup> sequences into putative species in several minutes. Altho...",Molecular Ecology Resources
operating systems,2020,48,https://openalex.org/W2997848713,GMAN: A Graph Multi-Attention Network for Traffic Prediction,Chuanpan Zheng; Xiaoliang Fan; Cheng Wang,Computer science (0.81); Encoder (0.76); Graph (0.55),"Long-term traffic prediction is highly challenging due to the complexity of traffic systems and the constantly changing nature of many impacting factors. In this paper, we focus on the spatio-temporal factors, and propose a graph multi-attention network (GMAN) to predict traffic conditions for time ...",Proceedings of the AAAI Conference on Artificial Intelligence
operating systems,2020,49,https://openalex.org/W3034713808,Celeb-DF: A Large-Scale Challenging Dataset for DeepFake Forensics,Yuezun Li; Xin Yang; Pu Sun,Computer science (0.80); Trustworthiness (0.69); Scale (ratio) (0.60),"AI-synthesized face-swapping videos, commonly known as DeepFakes, is an emerging problem threatening the trustworthiness of online information. The need to develop and evaluate DeepFake detection algorithms calls for datasets of DeepFake videos. However, current DeepFake datasets suffer from low vis...",
operating systems,2020,50,https://openalex.org/W3081879483,The contribution of global aviation to anthropogenic climate forcing for 2000 to 2018,David S. Lee; D. W. Fahey; Agnieszka Skowron,Radiative forcing (0.86); Cirrus (0.82); Environmental science (0.70),"Global aviation operations contribute to anthropogenic climate change via a complex set of processes that lead to a net surface warming. Of importance are aviation emissions of carbon dioxide (CO<sub>2</sub>), nitrogen oxides (NO<sub>x</sub>), water vapor, soot and sulfate aerosols, and increased cl...",Atmospheric Environment
compilers,1975,1,https://openalex.org/W2166780994,The programming language Concurrent Pascal,Per Brinch Hansen,Computer science (0.89); Programming language (0.85); Pascal (unit) (0.73),Describes a new programming language for structured programming of computer operating systems. It extends the sequential programming language Pascal with concurrent programming tools called processes and monitors. Section I explains these concepts informally by means of pictures illustrating a hiera...,IEEE Transactions on Software Engineering
compilers,1975,2,https://openalex.org/W2118252041,Programming-in-the large versus programming-in-the-small,Frank DeRemer; Hans H. Kron,Computer science (0.91); Programming language (0.78); Compiler (0.74),"We distinguish the activity of writing large programs from that of writing small ones. By large programs we mean systems consisting of many small programs (modules), possibly written by different people. We need languages for programming-in-the-small, i.e. languages not unlike the common programming...",ACM SIGPLAN Notices
compilers,1975,3,https://openalex.org/W1995258570,Iterative enhancement: A practical technique for software development,Victor R. Basil; Albert J. Turner,Computer science (0.85); Compiler (0.67); Implementation (0.57),"This paper recommends the iterative enhancement' technique as a practical means of using a top-down, stepwise refinement approach to software development. This technique begins with a simple initial implementation of a property chosen (skeletal) subproject which is followed by the gradual enhancemen...",IEEE Transactions on Software Engineering
compilers,1975,4,https://openalex.org/W1510165340,Programming Languages: Design and Implementation,Terrence W. Pratt,Programming language (0.88); Computer science (0.82); Compiler (0.57),"From the Publisher:
Exceptionally comprehensive in approach, this book explores the major issues in both design and implementation of modern programming languages and provides a basic introduction to the underlying theoretical models on which these languages are based. The emphasis throughout is on...",CERN Document Server (European Organization for Nuclear Research)
compilers,1975,5,https://openalex.org/W2056304107,Complete Register Allocation Problems,Ravi Sethi,Register allocation (0.94); Computer science (0.75); Compiler (0.66),"The search for efficient register allocation algorithms dates back to the time of the first FORTRAN compiler for the IBM 704. The model we use in this paper is a single processor with an arbitrarily large number of general registers. The objective is to use as few registers as possible, under the,co...",SIAM Journal on Computing
compilers,1975,6,https://openalex.org/W2145343598,INGRES,Gerald Held; Michael Stonebraker; Eugene Wong,Unix (0.90); Computer science (0.86); Unix architecture (0.76),INGRES (Interactive Graphics and Retrieval System) is a relational data base and graphics system which is being implemented on a PDP-11/40 based hardware configuration at Berkeley. INGRES runs as a normal user job on top of the UNIX operating system developed at the Bell Telephone Laboratories. The ...,
compilers,1975,7,https://openalex.org/W2063013240,A system for typesetting mathematics,Brian W. Kernighan; Lorinda L. Cherry,Compiler (0.83); Computer science (0.82); Programming language (0.69),"This paper describes the design and implementation of a system for typesetting mathematics. The language has been designed to be easy to learn and to use by people (for example, secretaries and mathematical typists) who know neither mathematics nor typesetting. Experience indicates that the language...",Communications of the ACM
compilers,1975,8,https://openalex.org/W2143560013,Short titles of Old English texts,Bruce Mitchell; Christopher Ball; Angus Cameron,Old English (0.70); Poetry (0.66); Syntax (0.62),"This is the list referred to by Helmut Gneuss in his ‘Guide to the Editing and Preparation of Texts for the Dictionary of Old English’, A. Plan for the Dictionary of Old English , ed. R. Frank and A. Cameron (Toronto, 1973), pp. 9–23. The list has been prepared for use in The Dictionary of Old Engli...",Anglo-Saxon England
compilers,1975,9,https://openalex.org/W2090738136,Alternating semantic evaluator,Mehdi Jazayeri; Kenneth G. Walter,L-attributed grammar (0.88); Computer science (0.82); Programming language (0.79),"In order to make the use of attribute grammars practical in (automatic) compiler generation, restricted attribute grammars are introduced. A membership test is given which determines whether a given attribute grammar satisfies the required restrictions. The major advantage of the restricted attribut...",
compilers,1975,10,https://openalex.org/W2003008491,Step‐Drawdown Test Analysis by Computer,John W. Labadie; Otto J. Helweg,Fortran (0.83); Drawdown (hydrology) (0.82); Listing (finance) (0.76),"ABSTRACT Many geohydrologists believe that the step‐drawdown test is useful in determining many important characteristics of a well, whereas others altogether question its utility. In addition to this controversy, its application is hindered because the graphical analysis of data is unwieldy. A comp...",Ground Water
compilers,1975,11,https://openalex.org/W2047053144,Computer time and memory requirements for DP and DDDP in water resource systems analysis,Ven Te Chow; David R. Maidment; George W. Tauxe,Computer science (0.69); Computer memory (0.62); Memory address (0.56),"The computer time required for a water resource optimization problem by dynamic programing (DP) or discrete differential dynamic programing (DDDP) may be considered as the sum of the compiling time for programing language translation, the initiating time for the program, and the execution time T E ....",Water Resources Research
compilers,1975,12,https://openalex.org/W1990364537,Nuclear data sheets for A = 65,R.L. Auble,Nuclear data (0.86); Data file (0.69); Computer science (0.67),,Nuclear Data Sheets
compilers,1975,13,https://openalex.org/W1580627069,Mathematical semantics and compiler generation,Peter D. Mosses,Compiler (0.74); Programming language (0.72); Computer science (0.67),"The method of giving the mathematical (or denotational) semantics of a programming language, as developed by Dana Scott and Christopher Strachey, is taken as a starting-point.The main work is towards a general and portable compiler-generator system, which generates a compiler for any programming lan...",Oxford University Research Archive (ORA) (University of Oxford)
compilers,1975,14,https://openalex.org/W4298295268,The Programming Language Concurrent Pascal,Per Brinch Hansen,Programming language (0.85); Computer science (0.84); Pascal (unit) (0.78),,
compilers,1975,15,https://openalex.org/W2074830943,Fortran for the Texas Instruments ASC system,Dorothy Wedel,Fortran (0.91); Compiler (0.88); Computer science (0.81),The ASC Fortran compiler and the methods of optimizing the execution times of compiled programs are described. Language extensions and compiler organization are briefly outlined. Traditional scalar optimization techniques and techniques to detect and generate vector operations from ANS standard Fort...,ACM SIGPLAN Notices
compilers,1975,16,https://openalex.org/W2082833978,Nuclear data sheets for A = 67,R.L. Auble,Nuclear data (0.84); Computer science (0.69); Data file (0.64),,Nuclear Data Sheets
compilers,1975,17,https://openalex.org/W1603358947,Syntax-Directed Description of Incremental Compilers,Hans Jürgen Schneider,Computer science (0.86); Compiler (0.75); Programming language (0.74),,Lecture notes in computer science
compilers,1975,18,https://openalex.org/W2079156168,Nuclear data sheets for A = 79,Paul Peter Urone; D.C. Kocher,Physics (0.66); Excited state (0.64); Ground state (0.56),,Nuclear Data Sheets
compilers,1975,19,https://openalex.org/W1980890556,Nuclear Data Sheets for A = 75,D. J. Horen; M.B. Lewis,Nuclear data (0.89); Data file (0.61); Computer science (0.58),,Nuclear Data Sheets
compilers,1975,20,https://openalex.org/W2001415073,Nuclear data sheets for A = 66,R.L. Auble,Nuclear data (0.84); Computer science (0.66); Data file (0.66),,Nuclear Data Sheets
compilers,1975,21,https://openalex.org/W2080324741,A transportable extendable compiler,Victor R. Basili; Albert J. Turner,Compiler (0.93); Computer science (0.80); Programming language (0.74),"Abstract This report describes the development of a transportable extendable self‐compiler for the language SIMPL‐T. SIMPL‐T is designed as the base language for a family of languages. The structure of the SIMPL‐T compiler and its transportable bootstrap are described. In addition, the procedures fo...",Software Practice and Experience
compilers,1975,22,https://openalex.org/W1499708355,An Approach to Global Register Allocation,Richard K. Johnsson,Register allocation (0.84); Register (sociolinguistics) (0.82); Computer science (0.47),Abstract : The thesis presents an approach to the problem of global register allocation as performed by an optimizing compiler. The problem considered is actually the more general one of choosing what physical resource within the target machine will be used to hold the results of various computation...,
compilers,1975,23,https://openalex.org/W2047911974,The Paralyzer,David Presberg,Computer science (0.91); Compiler (0.76); Parallel computing (0.74),"The ILLIAC IV Fortran compiler's Parallelism Analyzer and Synthesizer (mnemonicized as the Paralyzer) detects computations in Fortran DO loops which can be performed in parallel. It is a step of the compiling process which lies between source language parsing and target code generation, and as such ...",ACM SIGPLAN Notices
compilers,1975,24,https://openalex.org/W2167730184,Application of the optimization program AOP to the design of memory circuits,Gary D. Hachtel; Michael Lightner; H. P. Kelly,Computer science (0.78); Computation (0.50); Sensitivity (control systems) (0.49),"The memory cycle time of an IGFET read-only memory cell is designed using AOP, a program for automated and interactive optimization of electrical networks. It is shown how AOP allows the user to specify multiple performance objectives and to request analysis, and/or adjoint sensitivity computation, ...",IEEE Transactions on Circuits and Systems
compilers,1975,25,https://openalex.org/W2027649264,The Influence of the Compiler on the Cost of Mathematical Software—in Particular on the Cost of Triangular Factorization,Beresford Ν. Parlett; Y. Wang,Citation (0.82); Compiler (0.81); Computer science (0.73),"article The Influence of the Compiler on the Cost of Mathematical Software—in Particular on the Cost of Triangular Factorization Share on Authors: B. N. Parlett Computer Science Division, University of California, Berkeley CA Computer Science Division, University of California, Berkeley CAView Profi...",ACM Transactions on Mathematical Software
compilers,1975,26,https://openalex.org/W2090276525,The ILLIAC IV FORTRAN compiler,Robert E. Millstein; Charles A. Muntz,Fortran (0.90); Computer science (0.87); Programming language (0.80),This paper provides a basic description of a FORTRAN system for the ILLIAC IV. In this context “FORTRAN system” means exactly what one would expect — a user familiar with a different system will find no major surprises when he uses ILLIAC FORTRAN. The language is the same — a dialect of ANSI standar...,ACM SIGPLAN Notices
compilers,1975,27,https://openalex.org/W1986451646,A parallel approach to code generation for Fortran like compilers,Howard E. Krohn,Computer science (0.87); Fortran (0.78); Programming language (0.76),It has been shown by Lincoln and others that vector operations can be used to perform lexical analysis of FORTRAN source code. This paper presents techniques for code generation using parallel programming methods developed on the CDC STAR-100. Methods are presented for handling arithmetic assignment...,ACM SIGPLAN Notices
compilers,1975,28,https://openalex.org/W1982910157,Program optimization - theory and practice,David B. Loveman; Ross A. Faneuf,Computer science (0.86); Fortran (0.77); Compiler (0.72),"The conventional program optimization techniques employed by the ILLIAC FORTRAN compiler are general purpose, effective, and efficient. The underlying theory is applicable to FORTRAN and to other high level languages. A unique approach to the gathering of global set and use information about variabl...",ACM SIGPLAN Notices
compilers,1975,29,https://openalex.org/W1578467903,A Portable Compiler for the Language C,Alan Snyder,Computer science (0.86); Compiler (0.78); Machine code (0.78),This paper describes the implementation of a compiler for the language C. The compiler has been designed to be able to be capable of producing assembly-language code for most register-oriented machines with only minor recoding.,
compilers,1975,30,https://openalex.org/W2012910134,On the need for fewer restrictions in changing compile-time environments,David Lorge Parnas; John E. Shore; W. David Elliott,Computer science (0.90); Compiler (0.85); Compile time (0.79),"Compilers for current programming languages enforce rigid restrictions on changes, during the compilation of a statement, in the set of associations between names and declarations, that is, on changes in the compile-time environment of the statement. These restrictions inhibit the writing of well-st...",ACM SIGPLAN Notices
compilers,1975,31,https://openalex.org/W1557486623,Machine-independent generation of optimal local code.,Joseph M. Newcomer,Programming language (0.83); Computer science (0.82); Compiler (0.82),"Abstract : There has been extensive research into the automatic generation of compilers. Much of this has concentrated on the issues of syntax and semantics, while little has been done on the problems of code generation. This thesis represents one approach to the latter problem. A model of a compile...",
compilers,1975,32,https://openalex.org/W2057141553,Lexical analysis and parsing techniques for a vector machine,Michael K. Donegan; Stuart W. Kartzke,Computer science (0.91); Parsing (0.79); Compiler (0.68),The use of vector oriented hardware for compilation places a special burden on the compiler writer to make use of vector operations whenever possible. This paper presents various techniques for lexical analysis and parsing using the CDC STAR-100 instruction set. Although the similarity between APL a...,ACM SIGPLAN Notices
compilers,1975,33,https://openalex.org/W2073896195,An approach to compiler correctness,Laurian M. Chirica; David F. Martin,Computer science (0.90); Correctness (0.86); Compiler (0.82),"This paper is a preliminary report on an experiment in applying Floyd's method of inductive assertions to the compiler correctness problem. Practical postfix translators are considered, and the semantics of source and object languages are characterized by Floyd verification conditions. Compiler corr...",ACM SIGPLAN Notices
compilers,1975,34,https://openalex.org/W2015990401,Vector extensions to LRLTRAN,Richard G. Zwakenberg,Computer science (0.91); Programming language (0.74); Operand (0.68),The CDC STAR-100 brings a new concept in computing to LLL. The STAR is a string(vector) - oriented machine that is most efficient when it performs the same operations on sequentially stored operands. This approach to computer design opens up new areas of problem-solving techniques. Some algorithms t...,ACM SIGPLAN Notices
compilers,1975,35,https://openalex.org/W1981392712,The purpose of concurrent Pascal,Per Brinch Hansen,Pascal (unit) (0.90); Computer science (0.85); Programming language (0.79),"This is the first of three papers that describe a new programming language for structured programming of computer operating systems [1, 2, 3]. It extends the sequential programming language Pascal with concurrent programming tools called processes and monitors. These concepts are explained informall...",ACM SIGPLAN Notices
compilers,1975,36,https://openalex.org/W2011042950,Proving a compiler correct: A simple approach,G. Germano; A. Maggiolo‐Schettini,Compiler (0.81); Computer science (0.80); Programming language (0.75),,Journal of Computer and System Sciences
compilers,1975,37,https://openalex.org/W294272257,Architecture of Stack Machines,Robert W. Doran,Computer science (0.77); Stack (abstract data type) (0.76); Call stack (0.74),,Elsevier eBooks
compilers,1975,38,https://openalex.org/W1986652849,Removal of invariant statements from nested-loops in a single effective compiler pass,D. Neel; M. Amirchahy,Computer science (0.88); Compiler (0.80); Invariant (physics) (0.59),This document presents how one of the most important optimizations that a program may undergo is dealt with by means of attributes [7]. A semantic formalization of the classical method which consists of removing all loop-independent statements from the articulation blocks of a loop is given. The met...,ACM SIGPLAN Notices
compilers,1975,39,https://openalex.org/W1495679304,Conceptual Design of a Direct High-Level Language Processor,Howard Bloom,Computer science (0.83); Programmer (0.73); Programming language (0.71),,Elsevier eBooks
compilers,1975,40,https://openalex.org/W893476689,FILES: Automated Engineering Data Management System,Leonard A. Lopez,Computer science (0.78); Compiler (0.69); Data management (0.58),One approach to engineering data base management has been presented herein. The problem is a complex one and has no apparent correct or incorrect solution. Various techniques have been tried by other investigators. Each generation brings new ideas and hopefully better approaches to engineering data ...,Journal of the Structural Division
compilers,1975,41,https://openalex.org/W630731827,An introduction to compiler writing,J. S. Rohl,Compiler (0.72); Computer science (0.62); Programming language (0.59),,
compilers,1975,42,https://openalex.org/W2010102173,Biomac: Block structured programming using PDP‐11 assembler language,G. S. Herman‐Giddens; Robert Warren; R. C. Barr,Macro (0.91); Computer science (0.84); Subroutine (0.75),Abstract Users of small computers must often program in assembler language. Macros are described which assist in the construction of block structured programs in assembler language. The macros are used in practical day‐to‐day programming in a cardiac electrophysiology laboratory in which the coarse ...,Software Practice and Experience
compilers,1975,43,https://openalex.org/W4245202685,Syntax-directed description of incremental compilers,Hans Jürgen Schneider,Computer science (0.92); Programming language (0.83); Compiler (0.75),,Lecture notes in computer science
compilers,1975,44,https://openalex.org/W107200132,The SIMPL Family of Programming Languages and Compilers.,Victor R. Basili,Programming language (0.77); Computer science (0.74); Compiler (0.70),,Workshop on Graph-Theoretic Concepts in Computer Science
compilers,1975,45,https://openalex.org/W2028553829,A language design for vector machines,Victor R. Basili; John Knight,Computer science (0.79); Compiler (0.76); Programming language (0.64),"This paper deals with a programming language under development at NASA's Langley Research Center for the CDC STAR-100. The design goals for the language are that it be basic in design and able to be extended as deemed necessary to serve the user community, capable of the expression of efficient algo...",ACM SIGPLAN Notices
compilers,1975,46,https://openalex.org/W2615950992,Lexical analysis and parsing techniques for a vector machine,Michael K. Donegan; Stuart W. Kartzke,Computer science (0.85); Parsing (0.83); Compiler (0.70),The use of vector oriented hardware for compilation places a special burden on the compiler writer to make use of vector operations whenever possible. This paper presents various techniques for lexical analysis and parsing using the CDC STAR-100 instruction set. Although the similarity between APL a...,
compilers,1975,47,https://openalex.org/W4231813175,PATIWEN— a code for coulomb-nuclear interference calculations,Da Hsuan Feng; A.R. Barnett,Fortran (0.81); Compiler (0.78); Computer science (0.74),,Computer Physics Communications
compilers,1975,48,https://openalex.org/W2053153504,A theorem about automatic programming,Peter Kugel,Computer science (0.77); Debugging (0.76); Programming language (0.72),"An automatic programming system is a system (usually a programmed computer) that generates a program from partial information about that program (Figure 1). Looked at in this general way, automatic programming systems are hardly new. Assemblers are automatic programming systems. So are compilers, de...",ACM SIGART Bulletin
compilers,1975,49,https://openalex.org/W1510752621,Parsing as a subtask of compiling,Jaroslav Král; Jiří Demner,Computer science (0.89); Parsing (0.86); Programming language (0.57),,Lecture notes in computer science
compilers,1975,50,https://openalex.org/W1966759408,Building a programming language for a small computer: Reinventing the wheel,Gordon F. Pitz,Computer science (0.84); Programming language (0.84); Interpreter (0.83),,Behavior Research Methods
compilers,2020,1,https://openalex.org/W1536051636,Optimizing supercompilers for supercomputers,Michael Wolfe,Compiler (0.91); Computer science (0.90); Software portability (0.85),"Between a problem statement and its solution as a computer simulation are several steps, from choosing a method, writing a program, compiling to machine code, making runtime decisions, and hardware execution. Here we will look at the middle three decision points. What decisions should be and must be...",
compilers,2020,2,https://openalex.org/W3013348036,t|ket⟩: a retargetable compiler for NISQ devices,Seyon Sivarajah; Silas Dilkes; Alexander Cowtan,Compiler (0.86); Computer science (0.85); Optimizing compiler (0.54),"Abstract We present t | ket ⟩, a quantum software development platform produced by Cambridge Quantum Computing Ltd. The heart of t | ket ⟩ is a language-agnostic optimising compiler designed to generate code for a variety of NISQ devices, which has several features designed to minimise the influence...",Quantum Science and Technology
compilers,2020,3,https://openalex.org/W3104914200,t|ket> : A retargetable compiler for NISQ devices,Seyon Sivarajah; Silas Dilkes; Alexander Cowtan,Compiler (0.93); Computer science (0.82); Software (0.53),"We present t|ket>, a quantum software development platform produced by Cambridge Quantum Computing Ltd. The heart of t|ket> is a language-agnostic optimising compiler designed to generate code for a variety of NISQ devices, which has several features designed to minimise the influence of device erro...",Strathprints: The University of Strathclyde institutional repository (University of Strathclyde)
compilers,2020,4,https://openalex.org/W3040573126,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,Dmitry Lepikhin; HyoukJoong Lee; Yuanzhong Xu,Computer science (0.84); Computation (0.67); Compiler (0.63),"Neural network scaling has been critical for improving the model quality in many real-world machine learning applications with vast amounts of training data and compute. Although this trend of scaling is affirmed to be a sure-fire approach for better model quality, there are challenges on the path s...",arXiv (Cornell University)
compilers,2020,5,https://openalex.org/W3011196476,Fast Packet Processing with eBPF and XDP,Marcos A. M. Vieira; Matheus S. Castanho; Racyus D. G. Pacífico,Computer science (0.92); Linux kernel (0.66); Packet processing (0.66),"Extended Berkeley Packet Filter (eBPF) is an instruction set and an execution environment inside the Linux kernel. It enables modification, interaction, and kernel programmability at runtime. eBPF can be used to program the eXpress Data Path (XDP), a kernel network layer that processes packets close...",ACM Computing Surveys
compilers,2020,6,https://openalex.org/W2990120385,Transparent SNARKs from DARK Compilers,Benedikt Bünz; Ben Fisch; Alan Szepieniec,Computer science (0.74); Gas meter prover (0.65); Compiler (0.57),,Lecture notes in computer science
compilers,2020,7,https://openalex.org/W3015844221,LVI: Hijacking Transient Execution through Microarchitectural Load Value Injection,Jo Van Bulck; Daniel Moghimi; Michael Schwarz,Computer science (0.81); Microarchitecture (0.72); x86 (0.58),"The recent Spectre attack first showed how to inject incorrect branch targets into a victim domain by poisoning microarchitectural branch prediction history. In this paper, we generalize injection-based methodologies to the memory hierarchy by directly injecting incorrect, attacker-controlled values...",
compilers,2020,8,https://openalex.org/W3007855180,A Survey of Compiler Testing,Junjie Chen; Jibesh Patra; Michael Pradel,Compiler (0.93); Computer science (0.88); Compiler correctness (0.87),"Virtually any software running on a computer has been processed by a compiler or a compiler-like tool. Because compilers are such a crucial piece of infrastructure for building software, their correctness is of paramount importance. To validate and increase the correctness of compilers, significant ...",ACM Computing Surveys
compilers,2020,9,https://openalex.org/W3004659153,The Deep Learning Compiler: A Comprehensive Survey,Mingzhen Li; Yi Liu; Xiaoyan Liu,Compiler (0.92); Computer science (0.80); Deep learning (0.79),"The difficulty of deploying various deep learning (DL) models on diverse DL hardware has boosted the research and development of DL compilers in the community. Several DL compilers have been proposed from both industry and academia such as Tensorflow XLA and TVM. Similarly, the DL compilers take the...",IEEE Transactions on Parallel and Distributed Systems
